ID; Nome; Apelido; RB; FC; GC; CA; CV; SG; DD; DP; GS; FS; PE; A; FT; FD; FF; G; I; PP
84893;Henrique Silva Milagres;Henrique;10.0;16.0;0.0;4.0;0.0;1.0;0.0;0.0;0.0;14.0;15.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0
84926;Yago Henrique Severino dos Santos;Yago;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
84917;Jeferson de Araújo de Carvalho;Jeferson;16.0;10.0;0.0;3.0;0.0;2.0;0.0;0.0;0.0;5.0;17.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0
85004;Marcos Felipe de Freitas Monteiro;Marcos Felipe ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
85300;Orlando Enrique Berrío Meléndez;Berrío ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
85418;Uilson Pedruzzi de Oliveira;Uilson;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
85027;Carlos Alberto Carvalho da Silva Júnior;Carlos;6.0;11.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;12.0;6.0;0.0;0.0;4.0;8.0;1.0;6.0;0.0
92273;Odair Hellmann;Odair Hellmann;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
85626;Leonardo Pinheiro da Conceição;Léo;19.0;12.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;9.0;24.0;0.0;0.0;1.0;1.0;0.0;3.0;0.0
85586;Jonas Gomes de Sousa;Jonas;25.0;7.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;8.0;0.0;0.0;1.0;4.0;0.0;0.0;0.0
85400;Marcelo Machado dos Santos ;Marcelo;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
85931;Hyoran Kaue Dalmoro;Hyoran;2.0;10.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;5.0;10.0;5.0;0.0;1.0;2.0;1.0;1.0;0.0
88002;Sergio Antonio Soler de Oliveira Junior;Serginho;11.0;15.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;13.0;28.0;3.0;0.0;6.0;8.0;4.0;1.0;0.0
