Nome; Slug; Apelido; Foto; ID; Rodada; Clube ID; Posicao ID; Status ID; Pontos; Preco; Variacao; Media; Jogos
86508;Jandrei Chitolina Carniel;jandrei;Jandrei;https://s.glbimg.com/es/sde/f/2017/05/04/e34c217d3230604bddf15c133fde3fd2_FORMATO.png;1;315;1;7;-3.5;3.79;-5.21;-3.5;1
70118;Javier Arley Reina Calvo;reina;Reina;https://s.glbimg.com/es/sde/f/2018/03/15/9db9fcfc6d2c56a483aacb428f43943d_FORMATO.png;1;354;4;6;1.9;3.38;0.38;1.9;1
89150;Jean Carlos de Souza Irmer;jean;Jean;https://s.glbimg.com/es/sde/f/2018/04/14/41df144dd9a7bef47baff80aaa56b97c_FORMATO.png;1;263;4;2;0.0;3.0;0.0;0.0;0
98517;Jean Lucas de Souza Oliveira;jean-lucas;Jean Lucas;https://s.glbimg.com/es/sde/f/2017/04/24/51b0b51b6e93e3be827dfbed26355d91_FORMATO.png;1;262;4;6;0.0;2.0;0.0;0.0;0
78548;Jean Mota Oliveira de Sousa;jean-mota;Jean Mota;https://s.glbimg.com/es/sde/f/2017/05/02/6f250e3510eb4a5cf33223d20befd72c_FORMATO.png;1;277;4;7;5.5;8.61;1.61;5.5;1
90933;Jean Paulo Fernandes Filho;jean;Jean;https://s.glbimg.com/es/sde/f/2018/03/11/1a43920af3ea4ad2f189d77f6480d4ec_FORMATO.png;1;276;1;6;0.0;8.0;0.0;0.0;0
98832;Jean Pyerre Casagrande Silveira Correa;jean-pyerre;Jean Pyerre;https://s.glbimg.com/es/sde/f/2017/05/04/80cc9cc69c9d3444383c8a203334be97_FORMATO.jpeg;1;284;4;6;0.0;3.0;0.0;0.0;0
62047;Jean Raphael Vanderlei Moreira;jean;Jean;https://s.glbimg.com/es/sde/f/2017/04/18/84289863d6f3328bec523c3cfeadb268_FORMATO.png;1;275;2;6;0.0;7.0;0.0;0.0;0
84917;Jeferson de Araújo de Carvalho;jeferson;Jeferson;https://s.glbimg.com/es/sde/f/2018/04/13/b82201ef35f9d51daf417ce9f8294859_FORMATO.png;1;287;2;7;2.2;4.96;-0.04;2.2;1
38109;Jefferson de Oliveira Galvão;jefferson;Jefferson;https://s.glbimg.com/es/sde/f/2016/05/20/27326ea71a4a3d4cde252b5498024a60_FORMATO.png;1;263;1;6;0.0;12.0;0.0;0.0;0
91156;Jesiel Cardoso Miranda;jesiel;Jesiel;https://s.glbimg.com/es/sde/f/2018/04/13/f5667beb83b89214d559349a7bcfe52b_FORMATO.png;1;289;3;7;1.5;3.1;0.1;1.5;1
97863;Jhemerson Guimarães Gaigher;jhemerson;Jhemerson;https://s.glbimg.com/es/sde/f/2018/03/21/4352f97cb92d8c89a85442b0da6b66fb_FORMATO.png;1;287;4;6;0.0;3.0;0.0;0.0;0
99994;Jhonny Lucas Flora Barboza ;jhonny-lucas;Jhonny Lucas;https://s.glbimg.com/es/sde/f/2018/03/21/1891e9e504ce289621d56cf6db5ba93d_FORMATO.png;1;289;4;2;0.0;3.0;0.0;0.0;0
95484;Jhony Douglas Santiago;jhony;Jhony;https://s.glbimg.com/es/sde/f/2018/03/30/f92c7e5e3b35b0f9a53167837c56385d_FORMATO.jpeg;1;289;4;6;0.0;3.0;0.0;0.0;0
99583;João Carlos Cardoso Santo;joao-carlos;João Carlos;https://s.glbimg.com/es/sde/f/2018/04/13/26a4ba714efafcc43303d908b1da4aac_FORMATO.png;1;266;5;6;-0.5;1.03;-0.97;-0.5;1
72168;João Paulo Mior;joao-paulo;João Paulo;https://s.glbimg.com/es/sde/f/2017/04/17/6b2d599609eccc7671f1c4a23739c2d7_FORMATO.png;1;263;4;5;0.0;10.0;0.0;0.0;0
85425;João Paulo Silva Martins;joao-paulo;João Paulo;https://s.glbimg.com/es/sde/f/2017/05/02/f85d6ca954388c9c5635f0e28f95b5cf_FORMATO.png;1;277;1;6;0.0;2.0;0.0;0.0;0
89273;João Pedro Maturano dos Santos;joao-pedro;João Pedro ;https://s.glbimg.com/es/sde/f/2018/03/21/dda37870e2ce542d641afe198162f0b8_FORMATO.png;1;265;2;6;0.0;4.0;0.0;0.0;0
101757;João Pedro Ribeiro;joao-pedro-ribeiro;João Pedro Ribeiro;https://s.glbimg.com/es/sde/f/2018/03/15/cb416a7f6b2466410cf4e4d096031b1e_FORMATO.png;1;265;2;6;0.0;1.0;0.0;0.0;0
101721;João Pedro Soares Borges;joao-pedro;João Pedro;https://s.glbimg.com/es/sde/f/2018/04/09/1bedff3e3e787caf6d40ea64388d0261_FORMATO.png;1;267;1;6;0.0;1.0;0.0;0.0;0
101573;João Pedro Vilardi Pinto;pepe;Pepê;https://s.glbimg.com/es/sde/f/2018/03/17/e7607f8d20077dbbbeb1d032794914ca_FORMATO.png;1;262;4;6;0.0;2.0;0.0;0.0;0
81881;João Ricardo Riedi;joao-ricardo;João Ricardo;https://s.glbimg.com/es/sde/f/2018/03/17/8f235fbb0170bc112cf17a2bfaa54499_FORMATO.png;1;327;1;5;0.0;6.0;0.0;0.0;0
94894;João Victor da Vitória Fernandes;capixaba;Capixaba;https://s.glbimg.com/es/sde/f/2018/03/17/31d6a62e8d0c4154c043891811345219_FORMATO.png;1;327;5;6;0.0;4.0;0.0;0.0;0
101603;João Vitor Marques Matos;joao-vitor;João Vitor;;1;266;2;6;0.0;1.0;0.0;0.0;0
79553;Joeliton Lima Santos;mansur;Mansur;https://s.glbimg.com/es/sde/f/2018/03/21/58740180fa39ea528e64aa42ba67215c_FORMATO.png;1;289;2;7;0.4;3.72;-1.28;0.4;1
94044;John Victor Maciel Furtado;john-victor;John Victor;https://s.glbimg.com/es/sde/f/2017/05/02/0eab88c901790607c556e504aa31b200_FORMATO.png;1;277;1;6;0.0;1.0;0.0;0.0;0
80944;Johnath Marlone Azevedo da Silva;marlone;Marlone;https://s.glbimg.com/es/sde/f/2018/03/05/66364f58d0e09be7fe2adb8348d96b77_FORMATO.png;1;292;4;7;1.6;7.3;-1.7;1.6;1
101885;Jonas Gabriel da Silva Nunes;toro;Toró;;1;276;5;6;0.0;3.0;0.0;0.0;0
85586;Jonas Gomes de Sousa;jonas;Jonas;https://s.glbimg.com/es/sde/f/2018/03/23/b1dff93baf0e7bbccc6e54768a31ed68_FORMATO.png;1;262;4;6;0.0;7.0;0.0;0.0;0
78763;Jonatas Elias Belusso;jonatas-belusso;Jonatas Belusso;https://s.glbimg.com/es/sde/f/2018/03/21/155f4a413a5e54cbda24a44dd83b3e7d_FORMATO.png;1;287;5;6;0.0;5.0;0.0;0.0;0
37662;Jonathan Cícero Moreira;jonathan;Jonathan;https://s.glbimg.com/es/sde/f/2018/03/01/fe3cd425e203e34aaf34a6ac98ffc4af_FORMATO.png;1;293;2;2;6.2;9.78;1.78;6.2;1
77959;Jonathan Copete Valencia;copete;Copete;https://s.glbimg.com/es/sde/f/2017/05/02/38284b2eba393aa675069aff35def330_FORMATO.png;1;277;5;6;0.0;9.0;0.0;0.0;0
68817;Jonathan Doin;paulo-miranda;Paulo Miranda;https://s.glbimg.com/es/sde/f/2018/04/17/2193ea8fc1fdd0e0ad2061957b98092e_FORMATO.png;1;284;3;6;5.1;6.96;1.96;5.1;1
101480;Jorge Ambrosio Mendonça;mendonca;Mendonça;;1;284;3;6;0.0;1.0;0.0;0.0;0
73703;Jorge Daniel González Marquet;torito-gonzalez;Torito González;https://s.glbimg.com/es/sde/f/2018/03/21/4a53af8bd51b42f968f3b584e1581274_FORMATO.png;1;289;4;6;0.0;3.0;0.0;0.0;0
97453;Joriwinnyson Santos dos Anjos Rodrigues;jori;Jori;https://s.glbimg.com/es/sde/f/2018/03/17/3e91835be601e74dbfb5f06e1dc35442_FORMATO.png;1;327;1;7;13.7;10.13;9.13;13.7;1
92182;José Carlos Ferreira Júnior;juninho;Juninho;https://s.glbimg.com/es/sde/f/2017/09/04/19704caddfab14aadf71ca75df321f57_FORMATO.jpeg;1;275;3;6;0.0;6.0;0.0;0.0;0
74140;José Élber Pimentel da Silva;elber;Élber;https://s.glbimg.com/es/sde/f/2018/03/21/1b00098477bad4e60d3bc520dc464ab7_FORMATO.png;1;265;4;6;0.0;5.0;0.0;0.0;0
99894;José Francisco dos Santos Júnior;junior-brumado;Júnior Brumado;https://s.glbimg.com/es/sde/f/2018/03/21/bd18849356245d84cf422f076a8f1cdf_FORMATO.png;1;265;5;6;-0.5;1.72;-1.28;-0.5;1
81905;José Henrique da Silva Dourado;henrique-dourado;Henrique Dourado;https://s.glbimg.com/es/sde/f/2018/03/08/5d6a3a7c40bbf9f4d07b75169fc9be0f_FORMATO.png;1;262;5;7;0.5;15.5;-6.5;0.5;1
91866;José Ivaldo Almeida Silva;ze-ivaldo;Zé Ivaldo;https://s.glbimg.com/es/sde/f/2018/03/01/b984cfe3c5aef05cca4e8856a06ad317_FORMATO.png;1;293;3;6;-3.6;0.69;-2.31;-3.6;1
63208;José Luis dos Santos Pinto;zezinho;Zezinho;https://s.glbimg.com/es/sde/f/2018/03/21/20af82e27e6699c69e9458932cd76ae4_FORMATO.png;1;289;4;6;0.0;6.0;0.0;0.0;0
98765;José Marcos Costa Martins;marquinhos;Marquinhos;https://s.glbimg.com/es/sde/f/2017/07/05/cd8999b74581b3b3784402a115de312f_FORMATO.png;1;282;4;6;0.0;1.0;0.0;0.0;0
75295;José Paolo Guerrero Gonzales;paolo-guerrero;Paolo Guerrero;https://s.glbimg.com/es/sde/f/2017/08/16/aec506211b5663eb0569825b5aee6db6_FORMATO.jpeg;1;262;5;3;0.0;15.0;0.0;0.0;0
82455;José Rafael Vivian;ze-rafael;Zé Rafael ;https://s.glbimg.com/es/sde/f/2018/03/21/acf001c5ce22adb010ecee52e482fd0e_FORMATO.png;1;265;4;7;6.7;17.02;-0.98;6.7;1
88388;José Rafael do Nascimento Santos;rafael;Rafael;https://s.glbimg.com/es/sde/f/2018/03/21/2e7df6a6eb4a6284ac6fd38308bde1c3_FORMATO.png;1;289;3;6;0.0;2.0;0.0;0.0;0
97317;José Ricardo Barbosa Ribeiro Drumond;ze-ricardo;Zé Ricardo;https://s.glbimg.com/es/sde/f/2018/03/17/c4fa59125c92192d3b9cc8e4f1f83c48_FORMATO.png;1;327;4;6;0.4;0.96;-0.04;0.4;1
95780;José Ricardo Mannarino;ze-ricardo;Zé Ricardo;https://s.glbimg.com/es/sde/f/2017/08/29/290e1b5521ef67d15a9877e4e2544c0c_FORMATO.png;1;267;6;7;4.62;10.07;0.07;4.62;1
68727;José Rodolfo Pires Ribeiro;dodo;Dodô;https://s.glbimg.com/es/sde/f/2018/03/21/651f1bf4b51db0c365f67cbdc4d37b19_FORMATO.png;1;277;2;7;8.5;12.75;2.75;8.5;1
89646;José Rodrigo Andrade Ramos;rodrigo-andrade;Rodrigo Andrade;https://s.glbimg.com/es/sde/f/2018/03/21/baa60af023a4a5978254d14457ae5de5_FORMATO.png;1;287;4;6;-2.7;0.69;-1.31;-2.7;1
73540;José Rogério de Oliveira;rogerio;Rogério;https://s.glbimg.com/es/sde/f/2016/08/31/6340e77cb18143e838ae03747e59b459_FORMATO.png;1;292;5;6;0.0;7.0;0.0;0.0;0
86859;José Welison da Silva;jose-welison;José Welison;https://s.glbimg.com/es/sde/f/2018/03/21/9c9486bfe6d550bb373e1eb7553cbd91_FORMATO.png;1;287;4;6;0.0;5.0;0.0;0.0;0
98595;Juan Matheus Alano Nascimento;juan-alano;Juan Alano;https://s.glbimg.com/es/sde/f/2018/04/09/42d654e6fb1c2336662be0dad04a9df7_FORMATO.png;1;285;4;6;0.0;2.0;0.0;0.0;0
81682;Juan Ramón Cazares Sevillano;cazares;Cazares;https://s.glbimg.com/es/sde/f/2017/04/03/6ccb564ce56c9f6aad79040ab5f8f570_FORMATO.png;1;282;4;5;5.1;11.09;0.09;5.1;1
36540;Juan Silveira dos Santos;juan;Juan;https://s.glbimg.com/es/sde/f/2017/08/16/8083bd36b95c924dc4cf0341e39d22e4_FORMATO.jpeg;1;262;3;7;0.5;8.61;-3.39;0.5;1
63422;Jucilei da Silva;jucilei;Jucilei;https://s.glbimg.com/es/sde/f/2017/04/25/a6c1399add6e3c7d17ad9a708974cd21_FORMATO.png;1;276;4;7;0.6;7.3;-2.7;0.6;1
92054;Jucimar José Teixeira;alemao;Alemão;https://s.glbimg.com/es/sde/f/2018/03/21/ecf8e02cb48abb51def8317442e58822_FORMATO.png;1;289;2;7;1.1;4.89;-1.11;1.1;1
89190;Judivan Flor da Silva;judivan;Judivan ;https://s.glbimg.com/es/sde/f/2018/03/30/c14127206b6ba0991e38bc6d98f405c4_FORMATO.png;1;327;5;6;0.0;3.0;0.0;0.0;0
36773;Julio Cesar Soares de Espíndola;julio-cesar;Julio Cesar;https://s.glbimg.com/es/sde/f/2018/04/17/326a0f6b72076eb12b4e6b335ae6a1da_FORMATO.png;1;262;1;7;0.0;7.0;0.0;0.0;0
49673;Júlio César Jacobi;julio-cesar;Júlio César;https://s.glbimg.com/es/sde/f/2018/01/21/b7eff1a065e603cf19f456fc255eb017_FORMATO.png;1;266;1;7;-4.3;2.55;-5.45;-4.3;1
87877;Júnior Nazareno Sornoza Moreira;sornoza;Sornoza;https://s.glbimg.com/es/sde/f/2018/01/21/40443f559baf2dd666bfa225dc23f634_FORMATO.png;1;266;4;7;7.2;8.4;3.4;7.2;1
92574;Kaio Silva Mendes;kaio;Kaio;https://s.glbimg.com/es/sde/f/2016/04/30/a83b6e7bb6661dbbb2b8c85d3afc4b48_FORMATO.png;1;284;4;6;0.0;3.0;0.0;0.0;0
50402;Kayke Moreno de Andrade Rodrigues;kayke;Kayke;https://s.glbimg.com/es/sde/f/2018/03/21/c1647634cd1be0db834cb736dd2296de_FORMATO.png;1;265;5;6;0.0;6.0;0.0;0.0;0
93834;Keiller da Silva Nunes;keiller;Keiller;https://s.glbimg.com/es/sde/f/2018/04/08/2b0ef7e6d3eca3c4d867a530c5f5993a_FORMATO.png;1;285;1;6;0.0;3.0;0.0;0.0;0
71549;Kelvin Mateus de Oliveira;kelvin;Kelvin;https://s.glbimg.com/es/sde/f/2018/03/20/ce27034d4fd8068f72bbf69792b0ad46_FORMATO.png;1;267;5;6;0.0;6.0;0.0;0.0;0
98421;Kendy Tateishi Berbel;kendy;Kendy;https://s.glbimg.com/es/sde/f/2018/03/08/b7e98513918f25e4e2c6dfba1ebeb93b_FORMATO.png;1;315;5;6;0.0;1.0;0.0;0.0;0
99921;Khevin Rodrigo Fraga;khevin;Khevin;https://s.glbimg.com/es/sde/f/2018/03/08/88f9d75b389c210d82ac0150b875177a_FORMATO.png;1;315;4;5;0.0;2.0;0.0;0.0;0
100126;Kleber Augusto Caetano Leite Filho;kleber;Kleber;https://s.glbimg.com/es/sde/f/2017/09/05/6fc335d35eb2a8f269f2cf230475150c_FORMATO.png;1;262;2;6;0.0;2.0;0.0;0.0;0
89885;Leandro Alves de Carvalho;leandrinho;Leandrinho;https://s.glbimg.com/es/sde/f/2016/05/20/5f4b91fa5fbbd56dc1f2fe3f094cbb22_FORMATO.png;1;263;4;6;0.0;3.0;0.0;0.0;0
88669;Leandro Carvalho da Silva;leandro-carvalho;Leandro Carvalho;https://s.glbimg.com/es/sde/f/2018/03/20/3c3e1670caaa42e1d80975fa275dc95d_FORMATO.png;1;263;5;5;5.5;5.86;2.86;5.5;1
68953;Leandro Damião da Silva dos Santos;leandro-damiao;Leandro Damião;https://s.glbimg.com/es/sde/f/2018/04/08/c1c8646acc0c6d9b787e0bcd4ce2303c_FORMATO.png;1;285;5;5;0.0;10.0;0.0;0.0;0
51318;Leandro Donizete Gonçalves da Silva;leandro-donizete;Leandro Donizete;https://s.glbimg.com/es/sde/f/2018/04/17/72dc1ab07472323776f6c1208bc24568_FORMATO.png;1;327;4;2;0.0;3.0;0.0;0.0;0
78968;Leandro Marcos Pereira;leandro-pereira;Leandro Pereira;https://s.glbimg.com/es/sde/f/2018/04/20/66bf3e845077a9349722635410bed305_FORMATO.png;1;315;5;6;0.0;6.0;0.0;0.0;0
83963;Leandro Porto Torma;leandro-canhoto;Leandro Canhoto;https://s.glbimg.com/es/sde/f/2018/03/01/4e144d85d1a5d5081532590cc8ae6160_FORMATO.png;1;354;4;6;0.0;2.0;0.0;0.0;0
88687;Leandro Vilela Sales Teixeira;leandro-vilela;Leandro Vilela;https://s.glbimg.com/es/sde/f/2018/03/21/9a68c6d8db51f7e6b517b1b536fcfece_FORMATO.png;1;289;4;2;2.5;4.48;0.48;2.5;1
77529;Leandro da Silva;leandro-silva;Leandro Silva;https://s.glbimg.com/es/sde/f/2018/03/15/23b229a5d69c682d5f2958558ef0da34_FORMATO.png;1;354;2;6;0.0;7.0;0.0;0.0;0
94214;Leonardo Campos Duarte da Silva;leo-duarte;Léo Duarte;https://s.glbimg.com/es/sde/f/2017/08/22/a3d5b1c1beaed6275d0c2a3e0b2748ed_FORMATO.jpeg;1;262;3;6;0.0;5.0;0.0;0.0;0
87008;Leonardo Cesar Jardim;leo;Léo;https://s.glbimg.com/es/sde/f/2017/04/23/56c2f46953852255c8d3c1a685ecd757_FORMATO.png;1;284;1;6;0.0;3.0;0.0;0.0;0
70986;Leonardo Cittadini;leo-cittadini;Léo Cittadini;https://s.glbimg.com/es/sde/f/2017/05/02/6694b4703f10f789b166d7ca4f6f764e_FORMATO.png;1;277;4;7;6.5;7.92;2.92;6.5;1
92617;Leonardo Costa Silva;leo-tilica;Léo Tilica;https://s.glbimg.com/es/sde/f/2017/05/04/74f74348921e923d86030ce27cda9081_FORMATO.jpeg;1;284;5;6;0.0;2.0;0.0;0.0;0
99878;Leonardo Da Silva Passos;leo-passos;Léo Passos;https://s.glbimg.com/es/sde/f/2017/07/11/fbe688c63b6551ed75ef01b265cfa917_FORMATO.png;1;275;5;6;0.0;2.0;0.0;0.0;0
68925;Leonardo Fabiano da Silva e Silva;leonardo-silva;Leonardo Silva;https://s.glbimg.com/es/sde/f/2017/04/03/d52533a1acf6457724394d769b43771f_FORMATO.png;1;282;3;6;0.0;12.0;0.0;0.0;0
91508;Leonardo Felipe Valencia Rossel;leonardo-valencia;Leonardo Valencia;https://s.glbimg.com/es/sde/f/2017/08/07/5da8e09b912f3d4e02c70571d9de8988_FORMATO.png;1;263;4;7;3.6;6.61;0.61;3.6;1
86973;Leonardo Gomes da Conceição Silva;leonardo;Leonardo;https://s.glbimg.com/es/sde/f/2017/04/23/0cd6a2a3718c7c36858e7d11ad867645_FORMATO.png;1;284;2;6;0.0;2.0;0.0;0.0;0
